#	Every statement clause of the five later topics, and whether it could be written as a registry row.
#	file	line	clause	verdict	why
#	PORTED means a row exists in mock/registry/{proposal,law}-the-later-topics.toml.
#	NO-AXIS means its region names an axis no `dimension` row declares.
#	NO-REGION means the source states no region at all and the kind is not `normative`.
#	REFUSED means a signature refused it and no wording is true until op rules.
173	605	9. a shared node's carrier joins as a maximum	NO-REGION	marked [theorem + measured]; no predicate
173	611	10. the promise ladder follows the binding time	NO-REGION	marked [enumeration]; no predicate
173	616	11. the carrier of the chain guarantee, one test	NO-REGION	marked [measured]; no predicate
173	623	12. composition is three concepts wearing one word	NO-REGION	marked [enumeration]; no predicate; overlaps a ported primitive clause
119	379	4.1 the map and its character	PORTED	proposal the_realisation_map_has_an_algebraic_character
122	351	4.2 the characters are mutually exclusive	NO-AXIS	ambient domain closed under negation; finite value set
122	376	4.3 each character licenses a family	NO-AXIS	ambient domain; radix; construction
122	397	4.4 the character is a joint fact	NO-AXIS	ambient domain; radix
122	425	4.5 two mechanisms restore what a behaviour forfeits	NO-AXIS	ambient domain; radix; restrictions
122	447	4.6 a reduction has two parts, each with a locality condition	NO-AXIS	ambient domain; radix; term shapes; declarations
122	471	4.7 the discharge check and its certificate follow the character	NO-AXIS	ambient domain; radix; term shapes; declarations; discharge check
119	519	4.8 propagation rules compose by intersection	NO-AXIS	radix; term shapes; declarations
119	534	4.9 a bilinear construction's transformer is a formula	NO-AXIS	radix; dimension; structure constants; declarations
122	526	4.10 a rule's cost is paid where its carrier is instantiated	NO-AXIS	edition; feature gates; term; recursion limit
132	292	5.1 the map factors into two axes	PORTED	proposal the_realisation_map_factors_into_quantisation_and_range_policy
136	320	5.2 no quantisation is additive off the grid; monotonicity	NO-AXIS	domain
132	320	5.3 which exact law survives, four laws	NO-AXIS	domain; staged narrowing widths
136	355	5.4a the family invariance and the commutations	NO-AXIS	domain
138	49	5.4b the non-commutation of toward-zero with wrapping	PORTED	law quantise_then_reduce_commutes, as its failing region
132	362	5.5 where the axis does not act at all	NO-AXIS	domain; stochastic members
132	384	5.6 unbiasedness fixes the marginals; the variance law	NO-AXIS	domain; coupling; element count; fraction; predicate restored at 138:53
132	407	5.7 the tension is keyed	NO-AXIS	keying; decorrelation measure; input shape
138	57	5.8 randomness comes from outside, or the member is deterministic	NO-AXIS	keying axis; float types; feature gates; threshold; positions
146	314	5.1 the strategy object	PORTED	proposal a_strategy_is_an_assignment_and_a_weighting
146	330	5.2 the membership test	NO-AXIS	assignment set; observation sets; overflow limit read at the declared width
146	350	5.3 the count and its monotonicity	NO-AXIS	assignment sets; observation sets; accumulator width
146	386	5.4a the firewall	PORTED	proposal no_cost_model_may_move_an_answer
146	386	5.4b the enforceability condition and the consequence	NO-AXIS	assignment set; arm set; conforming pair; cost coordinates; selector
151	92	5.5a fusing a multiply-add is free at translation equivariance	PORTED	proposal fusing_a_multiply_add_is_free_exactly_at_translation_equivariance
146	434	5.5b where fusion changes the answer it is not a lowering	PORTED	proposal where_fusion_changes_the_answer_it_is_not_a_lowering
146	444	5.5c a lossless storage container adds no answer function	NO-AXIS	overflow limit read at the declared width
146	452	5.5d narrowing an accumulator is a cost choice except at signed saturating	NO-AXIS	accumulator width
151	367	6. a relocation is free where the thing relocated commutes	NO-AXIS	accumulator width; the operation set spelling
146	467	5.6 the selector and the hull	NO-AXIS	cost coordinates; arms; selector; weight grid resolution; baseline
146	500	5.7 the baseline, and what travels	NO-AXIS	cost coordinates; arms; baseline; reference point; augmentation coefficient
146	534	5.8 what the canon owes a consumer picking one	PORTED	proposal pick_the_policy_before_the_weighting
151	45	5.5f fusion preserves the answer under unsigned, the measured table at 151:53	PORTED	law fusing_a_multiply_add_preserves_the_answer_under_unsigned
151	45	5.5g fusion preserves the answer under signed wrapping, measured at 151:58	PORTED	law fusing_a_multiply_add_preserves_the_answer_under_signed_wrapping
146	434	5.5h the fused and the stepwise multiply-add denote one function	PORTED	law the_fused_and_the_stepwise_multiply_add_denote_one_function
